18-04-2025 15:44:57 - Operation result: 2 , Date:18-04-2025 15:44:56
18-04-2025 15:47:11 - Operation result: 2 , Date:18-04-2025 15:44:56
18-04-2025 15:47:12 - Operation result: 2 , Date:18-04-2025 15:44:56
18-04-2025 15:47:13 - Operation result: 2 , Date:18-04-2025 15:44:56
18-04-2025 15:47:14 - Operation result: 2 , Date:18-04-2025 15:44:56
18-04-2025 15:47:15 - Operation result: 2 , Date:18-04-2025 15:44:56
18-04-2025 15:47:16 - Operation result: 2 , Date:18-04-2025 15:44:56
18-04-2025 15:47:17 - Operation result: 2 , Date:18-04-2025 15:44:56
18-04-2025 15:47:18 - Operation result: 2 , Date:18-04-2025 15:44:56
18-04-2025 15:47:19 - Operation result: 2 , Date:18-04-2025 15:44:56
18-04-2025 15:47:20 - Operation result: 2 , Date:18-04-2025 15:44:56
18-04-2025 15:47:21 - Operation result: 2 , Date:18-04-2025 15:44:56
18-04-2025 15:47:22 - Operation result: 2 , Date:18-04-2025 15:44:56
18-04-2025 15:47:23 - Operation result: 2 , Date:18-04-2025 15:44:56
18-04-2025 15:47:24 - Operation result: 2 , Date:18-04-2025 15:44:56
18-04-2025 15:47:25 - Operation result: 2 , Date:18-04-2025 15:44:56
18-04-2025 15:47:26 - Operation result: 2 , Date:18-04-2025 15:44:56
18-04-2025 15:47:27 - Operation result: 2 , Date:18-04-2025 15:44:56
18-04-2025 15:47:28 - Operation result: 2 , Date:18-04-2025 15:44:56
18-04-2025 15:47:29 - Operation result: 2 , Date:18-04-2025 15:44:56
18-04-2025 15:47:30 - Operation result: 2 , Date:18-04-2025 15:44:56
18-04-2025 15:47:31 - Operation result: 2 , Date:18-04-2025 15:44:56
18-04-2025 15:47:32 - Operation result: 2 , Date:18-04-2025 15:44:56
18-04-2025 15:47:33 - Operation result: 2 , Date:18-04-2025 15:44:56
18-04-2025 15:47:34 - Operation result: 2 , Date:18-04-2025 15:44:56
18-04-2025 15:47:35 - Operation result: 2 , Date:18-04-2025 15:44:56
18-04-2025 15:47:36 - Operation result: 2 , Date:18-04-2025 15:44:56
18-04-2025 15:47:37 - Operation result: 2 , Date:18-04-2025 15:44:56
18-04-2025 15:47:38 - Operation result: 2 , Date:18-04-2025 15:44:56
18-04-2025 15:47:39 - Operation result: 2 , Date:18-04-2025 15:44:56
18-04-2025 15:47:40 - Operation result: 2 , Date:18-04-2025 15:44:56
18-04-2025 15:47:42 - Operation result: 2 , Date:18-04-2025 15:44:56
18-04-2025 15:51:16 - Operation result: 23 , Date:18-04-2025 15:51:15
18-04-2025 15:51:17 - Operation result: 23 , Date:18-04-2025 15:51:15
18-04-2025 15:51:18 - Operation result: 23 , Date:18-04-2025 15:51:15
18-04-2025 15:51:19 - Operation result: 23 , Date:18-04-2025 15:51:15
18-04-2025 15:51:20 - Operation result: 23 , Date:18-04-2025 15:51:15
18-04-2025 15:51:21 - Operation result: 23 , Date:18-04-2025 15:51:15
18-04-2025 15:51:22 - Operation result: 23 , Date:18-04-2025 15:51:15
18-04-2025 15:51:23 - Operation result: 23 , Date:18-04-2025 15:51:15
18-04-2025 15:51:24 - Operation result: 23 , Date:18-04-2025 15:51:15
18-04-2025 15:51:25 - Operation result: 23 , Date:18-04-2025 15:51:15
18-04-2025 15:51:26 - Operation result: 23 , Date:18-04-2025 15:51:15
18-04-2025 15:51:27 - Operation result: 23 , Date:18-04-2025 15:51:15
18-04-2025 15:51:28 - Operation result: 23 , Date:18-04-2025 15:51:15
18-04-2025 15:51:29 - Operation result: 23 , Date:18-04-2025 15:51:15
18-04-2025 15:51:30 - Operation result: 23 , Date:18-04-2025 15:51:15
18-04-2025 15:51:31 - Operation result: 23 , Date:18-04-2025 15:51:15
18-04-2025 15:51:32 - Operation result: 23 , Date:18-04-2025 15:51:15
18-04-2025 15:51:33 - Operation result: 23 , Date:18-04-2025 15:51:15
18-04-2025 15:51:34 - Operation result: 23 , Date:18-04-2025 15:51:15
18-04-2025 15:51:35 - Operation result: 23 , Date:18-04-2025 15:51:15
18-04-2025 15:51:36 - Operation result: 23 , Date:18-04-2025 15:51:15
18-04-2025 15:51:37 - Operation result: 23 , Date:18-04-2025 15:51:15
18-04-2025 15:51:38 - Operation result: 23 , Date:18-04-2025 15:51:15
18-04-2025 15:51:39 - Operation result: 23 , Date:18-04-2025 15:51:15
18-04-2025 15:51:40 - Operation result: 23 , Date:18-04-2025 15:51:15
18-04-2025 15:51:41 - Operation result: 23 , Date:18-04-2025 15:51:15
18-04-2025 15:51:42 - Operation result: 23 , Date:18-04-2025 15:51:15
18-04-2025 15:51:43 - Operation result: 23 , Date:18-04-2025 15:51:15
18-04-2025 15:51:44 - Operation result: 23 , Date:18-04-2025 15:51:15
18-04-2025 15:51:45 - Operation result: 23 , Date:18-04-2025 15:51:15
18-04-2025 15:51:46 - Operation result: 23 , Date:18-04-2025 15:51:15
18-04-2025 15:51:47 - Operation result: 23 , Date:18-04-2025 15:51:15
18-04-2025 15:51:48 - Operation result: 23 , Date:18-04-2025 15:51:15
18-04-2025 15:51:49 - Operation result: 23 , Date:18-04-2025 15:51:15
